order_id,order_date,restaurant_name,delivery_zone,order_value,delivery_time_mins,rider_rating,order_status,payment_method,discount_applied,customer_complaints,cancel_probability,cancel_risk
ORD00001,9/25/2024,Pizza Palace,North,1705,54.5,3.0,Delayed,Cash,12,0,0.34,low
ORD00002,3/11/2024,Pizza Palace,East,807,53.5,4.2,Cancelled,Card,12,3,0.18,low
ORD00003,12/11/2024,Spice Garden,South,466,46.0,3.6,Delayed,Card,1,3,0.5,low
ORD00004,7/10/2024,Wrap & Roll,East,675,53.5,3.6,Delivered,UPI,3,0,0.23,low
ORD00005,3/15/2024,Wrap & Roll,North,349,54.5,2.0,Refunded,Cash,20,0,0.36,low
ORD00006,8/28/2024,Pizza Palace,West,814,57.0,2.0,Delivered,Wallet,24,2,0.12,low
ORD00007,5/9/2024,Pizza Palace,East,423,53.0,,Cancelled,Cash,2,0,0.74,high
ORD00008,12/4/2024,Burger Hub,North,134,80.0,,Cancelled,Card,1,2,0.59,high
ORD00009,11/10/2024,Sushi Bay,East,1559,54.0,,Delivered,Card,25,2,0.13,low
ORD00010,9/24/2024,Sushi Bay,West,733,25.0,,Delivered,Cash,8,1,0.09,low
ORD00011,8/20/2024,Pizza Palace,West,1157,75.0,,Refunded,Wallet,25,1,0.55,high
ORD00012,3/14/2024,Spice Garden,East,806,66.0,,Delivered,UPI,19,3,0.23,low
ORD00013,10/28/2024,Spice Garden,Central,153,19.0,2.1,Refunded,UPI,29,1,0.42,low
ORD00014,7/11/2024,Spice Garden,North,1349,59.0,3.7,Cancelled,Card,3,2,0.82,high
ORD00015,12/21/2024,Pizza Palace,North,535,55.0,3.9,Delivered,Cash,22,3,0.14,low
ORD00016,7/14/2024,Spice Garden,North,1322,65.0,3.9,Delayed,Wallet,2,0,0.84,high
ORD00017,4/28/2024,Burger Hub,North,1745,36.0,3.9,Cancelled,Card,15,2,0.32,low
ORD00018,12/7/2024,Wrap & Roll,North,190,17.0,3.4,Delayed,Cash,26,3,0.38,low
ORD00019,1/19/2024,Burger Hub,South,1321,47.0,4.1,Refunded,UPI,21,2,0.39,low
ORD00020,3/5/2024,Sushi Bay,South,984,41.0,2.9,Delivered,Cash,29,0,0.08,low
ORD00021,5/16/2024,Pizza Palace,East,247,89.0,2.9,Cancelled,UPI,13,0,0.48,low
ORD00022,7/1/2024,Wrap & Roll,West,309,56.0,2.9,Delivered,Wallet,13,3,0.21,low
ORD00023,1/12/2024,Spice Garden,West,1362,20.0,3.8,Cancelled,UPI,21,2,0.72,high
ORD00024,4/2/2024,Pizza Palace,East,1644,81.0,3.3,Delivered,Card,5,2,0.13,low
ORD00025,9/8/2024,Spice Garden,West,1379,62.0,3.5,Cancelled,Cash,29,1,0.82,high
ORD00026,2/7/2024,Wrap & Roll,Central,1226,56.0,3.3,Cancelled,Card,16,1,0.92,high
ORD00027,10/11/2024,Sushi Bay,West,609,58.0,2.2,Refunded,Card,27,0,0.31,low
ORD00028,8/5/2024,Pizza Palace,South,1172,47.0,2.2,Delayed,Cash,20,1,0.41,low
ORD00029,12/2/2024,Burger Hub,Central,948,80.0,2.2,Refunded,UPI,11,1,0.72,high
ORD00030,10/13/2024,Wrap & Roll,East,1017,73.0,2.8,Refunded,Wallet,28,0,0.52,low
ORD00031,4/1/2024,Spice Garden,East,1428,40.0,2.3,Cancelled,UPI,25,0,0.14,low
ORD00032,12/15/2024,Spice Garden,West,1207,90.0,2.7,Cancelled,Wallet,5,0,0.82,high
ORD00033,10/27/2024,Spice Garden,West,403,85.0,2.8,Delivered,Card,23,1,0.27,low
ORD00034,5/5/2024,Burger Hub,West,1402,81.0,4.7,Delivered,Wallet,0,3,0.34,low
ORD00035,9/10/2024,Spice Garden,East,522,39.0,4.7,Delayed,Card,14,0,0.08,low
ORD00036,12/17/2024,Pizza Palace,East,370,29.0,2.1,Delivered,Cash,16,1,0.24,low
ORD00037,11/13/2024,Wrap & Roll,West,356,72.0,2.5,Delayed,UPI,16,1,0.56,high
ORD00038,3/1/2024,Burger Hub,West,1521,65.0,3.3,Cancelled,Wallet,17,0,0.79,high
ORD00039,1/9/2024,Spice Garden,North,1226,82.0,4.0,Delivered,UPI,17,2,0.18,low
ORD00040,6/13/2024,Sushi Bay,South,1640,28.0,3.0,Refunded,Card,0,3,0.36,low
ORD00041,1/26/2024,Burger Hub,South,1500,84.0,3.6,Refunded,UPI,28,2,0.53,low
ORD00042,7/28/2024,Wrap & Roll,West,994,69.0,2.4,Cancelled,Card,28,0,0.8,high
ORD00043,7/5/2024,Burger Hub,East,526,19.0,4.1,Delayed,Cash,17,0,0.12,low
ORD00044,12/28/2024,Sushi Bay,East,1419,50.0,3.2,Refunded,Wallet,16,1,0.06,low
ORD00045,5/27/2024,Pizza Palace,West,1471,33.0,4.5,Refunded,UPI,19,0,0.43,low
ORD00046,12/1/2024,Spice Garden,Central,1432,68.0,3.3,Refunded,UPI,15,3,0.64,high
ORD00047,4/25/2024,Burger Hub,Central,998,60.0,4.4,Delayed,Cash,11,1,0.67,high
ORD00048,12/13/2024,Burger Hub,Central,1707,64.0,2.6,Cancelled,Wallet,18,1,0.86,high
ORD00049,12/11/2024,Sushi Bay,Central,1550,17.0,2.4,Delivered,UPI,17,0,0.12,low
ORD00050,5/6/2024,Wrap & Roll,Central,441,65.0,5.0,Refunded,Wallet,21,3,0.82,high
ORD00051,9/11/2024,Sushi Bay,Central,700,39.0,3.9,Delayed,Cash,13,2,0.32,low
ORD00052,11/9/2024,Sushi Bay,Central,267,19.0,5.0,Delivered,UPI,9,2,0.26,low
ORD00053,2/11/2024,Sushi Bay,West,1776,23.0,4.7,Refunded,Cash,8,1,0.18,low
ORD00054,9/23/2024,Pizza Palace,South,307,57.0,4.5,Delayed,Card,11,1,0.23,low
ORD00055,3/2/2024,Spice Garden,North,1455,34.0,2.0,Refunded,Wallet,4,0,0.43,low
ORD00056,3/2/2024,Pizza Palace,North,1735,42.0,3.8,Delayed,UPI,7,1,0.27,low
ORD00057,3/11/2024,Burger Hub,North,481,54.0,2.0,Cancelled,Card,29,2,0.73,high
ORD00058,3/19/2024,Wrap & Roll,Central,839,17.0,2.4,Delivered,UPI,16,0,0.41,low
ORD00059,5/14/2024,Sushi Bay,East,251,16.0,4.4,Refunded,Cash,17,1,0.3,low
ORD00060,10/14/2024,Spice Garden,South,1558,21.0,3.0,Cancelled,Card,27,1,0.45,low
ORD00061,1/19/2024,Burger Hub,West,162,74.0,4.5,Refunded,Wallet,2,2,0.45,low
ORD00062,2/6/2024,Wrap & Roll,East,916,79.0,3.9,Refunded,Card,15,2,0.42,low
